IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
13.201.27.214,2053,TRUE,BOM,IN,Asia Pacific,Mumbai,16509,AMAZON-02,636,9.49
3.109.185.221,443,TRUE,BOM,IN,Asia Pacific,Mumbai,16509,AMAZON-02,702,6.92
35.200.202.118,443,TRUE,BOM,IN,Asia Pacific,Mumbai,396982,GOOGLE-CLOUD-PLATFORM,770,6.50
65.20.76.125,8443,TRUE,BOM,IN,Asia Pacific,Mumbai,20473,AS-CHOOPA,488,6.37
43.204.80.35,443,TRUE,BOM,IN,Asia Pacific,Mumbai,16509,AMAZON-02,544,3.45
52.66.224.37,2053,TRUE,BOM,IN,Asia Pacific,Mumbai,16509,AMAZON-02,595,3.35
13.233.193.94,2053,TRUE,BOM,IN,Asia Pacific,Mumbai,16509,AMAZON-02,563,3.12
52.66.224.37,8443,TRUE,BOM,IN,Asia Pacific,Mumbai,16509,AMAZON-02,544,2.41
64.176.167.241,2053,TRUE,TLV,IL,Middle East,Tel Aviv,20473,AS-CHOOPA,786,0.62
64.176.163.223,8443,TRUE,TLV,IL,Middle East,Tel Aviv,20473,AS-CHOOPA,795,0.55
64.176.167.241,8443,TRUE,HFA,IL,Middle East,Haifa,20473,AS-CHOOPA,791,0.32
3.110.28.39,6789,TRUE,BOM,IN,Asia Pacific,Mumbai,16509,AMAZON-02,604,0.22
